Wall time,Step,Value
1621492317.0632,25400,2.83738190773875E-05
1621492445.43144,25500,3.95639253838453E-05
1621492573.56282,25600,3.43773936037905E-05
1621492701.94848,25700,2.7295889594825E-05
1621492830.13327,25800,3.59096666215919E-05
1621492958.71179,25900,2.50693519774359E-05
1621493087.03023,26000,2.771828440018E-05
1621493217.12822,26100,3.77707910956815E-05
1621493345.99441,26200,2.73461500910344E-05
1621493474.84647,26300,2.93472094199387E-05
1621493603.03229,26400,3.61728161806241E-05
1621493731.35751,26500,3.25452965626027E-05
1621493859.21218,26600,3.39393627655227E-05
1621493987.53032,26700,2.95881836791523E-05
1621494115.70718,26800,2.6646766855265E-05
1621494243.00224,26900,3.35556360369082E-05
1621494370.43857,27000,2.92318727588281E-05
1621494500.17824,27100,2.96416437777225E-05
1621494628.52685,27200,3.784740329138E-05
1621494756.27255,27300,3.76306488760747E-05
1621494883.66207,27400,3.33550015056971E-05
1621495011.59543,27500,2.80963322438765E-05
1621495138.64138,27600,2.47683292400325E-05
1621495265.99134,27700,3.33465213770978E-05
1621495393.533,27800,3.62146893166937E-05
1621495520.48686,27900,2.94780093099689E-05
1621495646.9794,28000,4.45608893642202E-05
1621495774.53152,28100,1.8442213331582E-05
1621495900.74331,28200,2.02899846044602E-05
1621496027.32665,28300,3.79627526854165E-05
1621496153.29259,28400,3.52574716089293E-05
1621496279.95617,28500,2.20234051084844E-05
1621496406.50949,28600,2.89462350337999E-05
1621496533.54923,28700,2.52387671935139E-05
1621496660.24151,28800,3.20660619763657E-05
1621496787.28402,28900,3.18294114549644E-05
1621496914.13177,29000,3.30737166223116E-05
1621497042.6252,29100,4.43862736574374E-05
1621497169.08936,29200,2.06581826205365E-05
1621497295.79619,29300,3.82074540539179E-05
1621497422.38017,29400,3.49881374859251E-05
1621497549.20095,29500,2.81145585177001E-05
1621497675.74955,29600,2.03631861950271E-05
1621497802.95605,29700,1.93640007637441E-05
1621497930.80102,29800,3.92183792428113E-05
1621498059.1407,29900,2.57603878708323E-05
1621498186.74819,30000,4.48415667051449E-05
